name,mean_auc,sem_auc,subNo,auc,xvalIterReported,condNames,which_traintest,roiName,num_results_iter,scramble,trWeights,trWeights_train,trWeights_test,sweep ,sameTrs,trainTr3
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__1__0_roirleftMtlMask_tbm112514.mat,0.51715,0.011435,s13,0.58522,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;1;0,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__1__0_roirleftMtlMask_tbm112514.mat,0.51715,0.011435,s14,0.47247,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;1;0,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__1__0_roirleftMtlMask_tbm112514.mat,0.51715,0.011435,s15,0.50511,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;1;0,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__1__0_roirleftMtlMask_tbm112514.mat,0.51715,0.011435,s16,0.59901,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;1;0,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__1__0_roirleftMtlMask_tbm112514.mat,0.51715,0.011435,s17,0.47069,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;1;0,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__1__0_roirleftMtlMask_tbm112514.mat,0.51715,0.011435,s18,0.55353,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;1;0,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__1__0_roirleftMtlMask_tbm112514.mat,0.51715,0.011435,s19,0.51299,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;1;0,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__1__0_roirleftMtlMask_tbm112514.mat,0.51715,0.011435,s20,0.63004,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;1;0,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__1__0_roirleftMtlMask_tbm112514.mat,0.51715,0.011435,s21,0.46998,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;1;0,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__1__0_roirleftMtlMask_tbm112514.mat,0.51715,0.011435,s22,0.53804,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;1;0,TRUE,FALSE,TRUE
