correctsVec,actsVec,actsVec2,desiredsVec,actsOfTrueClass,actsOfFalseClass,actsDifference,guessesVec,signedActs,xval_iter,signedEv,unsignedEv,runsVec,subs
1,0.65873,0.34127,1,0.65873,0.34127,0.31747,1,0.15873,1,0.65765,0.65765,1,1
1,0.61125,0.38875,1,0.61125,0.38875,0.22251,1,0.11125,1,0.45259,0.45259,1,1
1,0.69227,0.30773,1,0.69227,0.30773,0.38453,1,0.19227,1,0.81074,0.81074,1,1
0,0.46605,0.53395,1,0.46605,0.53395,-0.067909,2,-0.033954,1,-0.13603,-0.13603,1,1
1,0.51288,0.48712,1,0.51288,0.48712,0.025769,1,0.012884,1,0.051549,0.051549,1,1
1,0.54599,0.45401,1,0.54599,0.45401,0.091989,1,0.045994,1,0.1845,0.1845,1,1
1,0.61549,0.38451,1,0.61549,0.38451,0.23097,1,0.11549,1,0.47043,0.47043,1,1
1,0.66842,0.33158,1,0.66842,0.33158,0.33684,1,0.16842,1,0.70105,0.70105,1,1
1,0.60206,0.39794,1,0.60206,0.39794,0.20411,1,0.10206,1,0.41404,0.41404,1,1
1,0.54928,0.45072,1,0.54928,0.45072,0.098556,1,0.049278,1,0.19775,0.19775,1,1
1,0.65133,0.34867,1,0.65133,0.34867,0.30265,1,0.15133,1,0.62487,0.62487,1,1
1,0.64955,0.35045,1,0.64955,0.35045,0.2991,1,0.14955,1,0.61707,0.61707,1,1
1,0.66792,0.33208,1,0.66792,0.33208,0.33584,1,0.16792,1,0.6988,0.6988,1,1
0,0.50046,0.49954,2,0.49954,0.50046,-0.00092763,1,-0.00046382,1,0.0018553,-0.0018553,1,1
0,0.54295,0.45705,2,0.45705,0.54295,-0.085903,1,-0.042952,1,0.17223,-0.17223,1,1
0,0.5285,0.4715,2,0.4715,0.5285,-0.057002,1,-0.028501,1,0.11413,-0.11413,1,1
0,0.60697,0.39303,2,0.39303,0.60697,-0.21393,1,-0.10697,1,0.43458,-0.43458,1,1
0,0.68627,0.31373,2,0.31373,0.68627,-0.37255,1,-0.18627,1,0.78276,-0.78276,1,1
0,0.6109,0.3891,2,0.3891,0.6109,-0.2218,1,-0.1109,1,0.4511,-0.4511,1,1
0,0.55568,0.44432,2,0.44432,0.55568,-0.11137,1,-0.055685,1,0.22367,-0.22367,1,1
0,0.64817,0.35183,2,0.35183,0.64817,-0.29634,1,-0.14817,1,0.61101,-0.61101,1,1
0,0.62948,0.37052,2,0.37052,0.62948,-0.25896,1,-0.12948,1,0.52999,-0.52999,1,1
