correctsVec,actsVec,actsVec2,desiredsVec,actsOfTrueClass,actsOfFalseClass,actsDifference,guessesVec,signedActs,xval_iter,signedEv,unsignedEv,subs
0,0.71857,0.28143,2,0.28143,0.71857,-0.43713,1,-0.21857,1,0.93737,-0.93737,1
0,0.69826,0.30174,2,0.30174,0.69826,-0.39651,1,-0.19826,1,0.839,-0.839,1
0,0.67166,0.32834,2,0.32834,0.67166,-0.34332,1,-0.17166,1,0.71569,-0.71569,1
0,0.67289,0.32711,2,0.32711,0.67289,-0.34577,1,-0.17289,1,0.72127,-0.72127,1
0,0.60696,0.39304,2,0.39304,0.60696,-0.21392,1,-0.10696,1,0.43456,-0.43456,1
0,0.97735,0.022654,2,0.022654,0.97735,-0.95469,1,-0.47735,1,3.7645,-3.7645,1
0,0.9723,0.027701,2,0.027701,0.9723,-0.9446,1,-0.4723,1,3.5582,-3.5582,1
0,0.96751,0.032489,2,0.032489,0.96751,-0.93502,1,-0.46751,1,3.3938,-3.3938,1
0,0.92261,0.077391,2,0.077391,0.92261,-0.84522,1,-0.42261,1,2.4783,-2.4783,1
0,0.96461,0.035387,2,0.035387,0.96461,-0.92923,1,-0.46461,1,3.3054,-3.3054,1
0,0.96408,0.035923,2,0.035923,0.96408,-0.92815,1,-0.46408,1,3.2898,-3.2898,1
0,0.97801,0.021994,2,0.021994,0.97801,-0.95601,1,-0.47801,1,3.7948,-3.7948,1
0,0.97326,0.02674,2,0.02674,0.97326,-0.94652,1,-0.47326,1,3.5945,-3.5945,1
0,0.96223,0.037773,2,0.037773,0.96223,-0.92445,1,-0.46223,1,3.2377,-3.2377,1
0,0.93829,0.061714,2,0.061714,0.93829,-0.87657,1,-0.43829,1,2.7215,-2.7215,1
0,0.028607,0.97139,1,0.028607,0.97139,-0.94279,2,-0.47139,1,-3.5251,-3.5251,1
0,0.03027,0.96973,1,0.03027,0.96973,-0.93946,2,-0.46973,1,-3.4668,-3.4668,1
0,0.013619,0.98638,1,0.013619,0.98638,-0.97276,2,-0.48638,1,-4.2826,-4.2826,1
0,0.038444,0.96156,1,0.038444,0.96156,-0.92311,2,-0.46156,1,-3.2194,-3.2194,1
0,0.01345,0.98655,1,0.01345,0.98655,-0.9731,2,-0.48655,1,-4.2952,-4.2952,1
0,0.018741,0.98126,1,0.018741,0.98126,-0.96252,2,-0.48126,1,-3.9581,-3.9581,1
0,0.024184,0.97582,1,0.024184,0.97582,-0.95163,2,-0.47582,1,-3.6976,-3.6976,1
0,0.039129,0.96087,1,0.039129,0.96087,-0.92174,2,-0.46087,1,-3.201,-3.201,1
0,0.03415,0.96585,1,0.03415,0.96585,-0.9317,2,-0.46585,1,-3.3422,-3.3422,1
0,0.14703,0.85297,1,0.14703,0.85297,-0.70594,2,-0.35297,1,-1.7581,-1.7581,1
0,0.21999,0.78001,1,0.21999,0.78001,-0.56002,2,-0.28001,1,-1.2657,-1.2657,1
0,0.14184,0.85816,1,0.14184,0.85816,-0.71632,2,-0.35816,1,-1.8001,-1.8001,1
0,0.094177,0.90582,1,0.094177,0.90582,-0.81165,2,-0.40582,1,-2.2637,-2.2637,1
0,0.16296,0.83704,1,0.16296,0.83704,-0.67407,2,-0.33704,1,-1.6363,-1.6363,1
0,0.20429,0.79571,1,0.20429,0.79571,-0.59142,2,-0.29571,1,-1.3597,-1.3597,1
0,0.13897,0.86103,1,0.13897,0.86103,-0.72206,2,-0.36103,1,-1.8239,-1.8239,1
0,0.13709,0.86291,1,0.13709,0.86291,-0.72582,2,-0.36291,1,-1.8397,-1.8397,1
0,0.21233,0.78767,1,0.21233,0.78767,-0.57534,2,-0.28767,1,-1.3109,-1.3109,1
0,0.88221,0.11779,2,0.11779,0.88221,-0.76442,1,-0.38221,1,2.0135,-2.0135,1
0,0.94417,0.05583,2,0.05583,0.94417,-0.88834,1,-0.44417,1,2.828,-2.828,1
0,0.86183,0.13817,2,0.13817,0.86183,-0.72366,1,-0.36183,1,1.8306,-1.8306,1
0,0.86225,0.13775,2,0.13775,0.86225,-0.72451,1,-0.36225,1,1.8341,-1.8341,1
0,0.88907,0.11093,2,0.11093,0.88907,-0.77814,1,-0.38907,1,2.0813,-2.0813,1
0,0.90672,0.093283,2,0.093283,0.90672,-0.81343,1,-0.40672,1,2.2742,-2.2742,1
0,0.9071,0.092904,2,0.092904,0.9071,-0.81419,1,-0.4071,1,2.2787,-2.2787,1
0,0.84713,0.15287,2,0.15287,0.84713,-0.69427,1,-0.34713,1,1.7123,-1.7123,1
0,0.91982,0.080183,2,0.080183,0.91982,-0.83963,1,-0.41982,1,2.4399,-2.4399,1
0,0.86858,0.13142,2,0.13142,0.86858,-0.73716,1,-0.36858,1,1.8885,-1.8885,1
1,0.21008,0.78992,2,0.78992,0.21008,0.57984,2,0.28992,1,-1.3244,1.3244,1
0,0.67449,0.32551,2,0.32551,0.67449,-0.34898,1,-0.17449,1,0.72856,-0.72856,1
1,0.28321,0.71679,2,0.71679,0.28321,0.43358,2,0.21679,1,-0.92858,0.92858,1
1,0.31629,0.68371,2,0.68371,0.31629,0.36742,2,0.18371,1,-0.77088,0.77088,1
1,0.43449,0.56551,2,0.56551,0.43449,0.13102,2,0.065509,1,-0.26355,0.26355,1
0,0.63676,0.36324,2,0.36324,0.63676,-0.27353,1,-0.13676,1,0.56134,-0.56134,1
1,0.26287,0.73713,2,0.73713,0.26287,0.47426,2,0.23713,1,-1.0311,1.0311,1
1,0.37242,0.62758,2,0.62758,0.37242,0.25517,2,0.12758,1,-0.52187,0.52187,1
1,0.237,0.763,2,0.763,0.237,0.52601,2,0.263,1,-1.1692,1.1692,1
1,0.4371,0.5629,2,0.5629,0.4371,0.1258,2,0.062901,1,-0.25294,0.25294,1
1,0.26997,0.73003,2,0.73003,0.26997,0.46006,2,0.23003,1,-0.99478,0.99478,1
1,0.22957,0.77043,2,0.77043,0.22957,0.54085,2,0.27043,1,-1.2107,1.2107,1
1,0.11497,0.88503,2,0.88503,0.11497,0.77006,2,0.38503,1,-2.041,2.041,1
1,0.12045,0.87955,2,0.87955,0.12045,0.7591,2,0.37955,1,-1.9882,1.9882,1
1,0.13683,0.86317,2,0.86317,0.13683,0.72634,2,0.36317,1,-1.8419,1.8419,1
1,0.13138,0.86862,2,0.86862,0.13138,0.73724,2,0.36862,1,-1.8888,1.8888,1
1,0.099117,0.90088,2,0.90088,0.099117,0.80177,2,0.40088,1,-2.2071,2.2071,1
1,0.1548,0.8452,2,0.8452,0.1548,0.69039,2,0.3452,1,-1.6974,1.6974,1
1,0.12405,0.87595,2,0.87595,0.12405,0.75189,2,0.37595,1,-1.9546,1.9546,1
1,0.13136,0.86864,2,0.86864,0.13136,0.73728,2,0.36864,1,-1.889,1.889,1
1,0.18625,0.81375,2,0.81375,0.18625,0.62751,2,0.31375,1,-1.4746,1.4746,1
1,0.11351,0.88649,2,0.88649,0.11351,0.77298,2,0.38649,1,-2.0554,2.0554,1
1,0.11122,0.88878,2,0.88878,0.11122,0.77756,2,0.38878,1,-2.0784,2.0784,1
1,0.15002,0.84998,2,0.84998,0.15002,0.69995,2,0.34998,1,-1.7344,1.7344,1
1,0.1004,0.8996,2,0.8996,0.1004,0.7992,2,0.3996,1,-2.1928,2.1928,1
1,0.18465,0.81535,2,0.81535,0.18465,0.63069,2,0.31535,1,-1.4851,1.4851,1
1,0.1329,0.8671,2,0.8671,0.1329,0.73419,2,0.3671,1,-1.8755,1.8755,1
1,0.10026,0.89974,2,0.89974,0.10026,0.79948,2,0.39974,1,-2.1943,2.1943,1
1,0.1228,0.8772,2,0.8772,0.1228,0.75441,2,0.3772,1,-1.9662,1.9662,1
1,0.12161,0.87839,2,0.87839,0.12161,0.75678,2,0.37839,1,-1.9773,1.9773,1
1,0.99835,0.0016547,1,0.99835,0.0016547,0.99669,1,0.49835,1,6.4025,6.4025,1
1,0.99843,0.0015729,1,0.99843,0.0015729,0.99685,1,0.49843,1,6.4533,6.4533,1
1,0.99856,0.0014389,1,0.99856,0.0014389,0.99712,1,0.49856,1,6.5424,6.5424,1
1,0.99726,0.0027413,1,0.99726,0.0027413,0.99452,1,0.49726,1,5.8966,5.8966,1
1,0.99866,0.0013374,1,0.99866,0.0013374,0.99733,1,0.49866,1,6.6157,6.6157,1
1,0.99911,0.00089229,1,0.99911,0.00089229,0.99822,1,0.49911,1,7.0208,7.0208,1
1,0.99905,0.000948,1,0.99905,0.000948,0.9981,1,0.49905,1,6.9602,6.9602,1
1,0.99819,0.0018096,1,0.99819,0.0018096,0.99638,1,0.49819,1,6.3129,6.3129,1
1,0.99336,0.0066388,1,0.99336,0.0066388,0.98672,1,0.49336,1,5.0082,5.0082,1
1,0.80864,0.19136,1,0.80864,0.19136,0.61728,1,0.30864,1,1.4412,1.4412,1
0,0.33956,0.66044,1,0.33956,0.66044,-0.32087,2,-0.16044,1,-0.66524,-0.66524,1
1,0.62106,0.37894,1,0.62106,0.37894,0.24212,1,0.12106,1,0.49405,0.49405,1
1,0.5048,0.4952,1,0.5048,0.4952,0.0096021,1,0.004801,1,0.019205,0.019205,1
1,0.51665,0.48335,1,0.51665,0.48335,0.033307,1,0.016654,1,0.066639,0.066639,1
1,0.51543,0.48457,1,0.51543,0.48457,0.030869,1,0.015435,1,0.061758,0.061758,1
1,0.58651,0.41349,1,0.58651,0.41349,0.17302,1,0.086508,1,0.34955,0.34955,1
1,0.69189,0.30811,1,0.69189,0.30811,0.38378,1,0.19189,1,0.80898,0.80898,1
1,0.64965,0.35035,1,0.64965,0.35035,0.2993,1,0.14965,1,0.6175,0.6175,1
1,0.54359,0.45641,1,0.54359,0.45641,0.087174,1,0.043587,1,0.17479,0.17479,1
0,0.092998,0.907,1,0.092998,0.907,-0.814,2,-0.407,1,-2.2776,-2.2776,1
0,0.30082,0.69918,1,0.30082,0.69918,-0.39836,2,-0.19918,1,-0.8434,-0.8434,1
0,0.19166,0.80834,1,0.19166,0.80834,-0.61667,2,-0.30834,1,-1.4392,-1.4392,1
0,0.13868,0.86132,1,0.13868,0.86132,-0.72265,2,-0.36132,1,-1.8263,-1.8263,1
0,0.19457,0.80543,1,0.19457,0.80543,-0.61085,2,-0.30543,1,-1.4206,-1.4206,1
0,0.41581,0.58419,1,0.41581,0.58419,-0.16838,2,-0.084191,1,-0.34,-0.34,1
0,0.10306,0.89694,1,0.10306,0.89694,-0.79388,2,-0.39694,1,-2.1637,-2.1637,1
0,0.31442,0.68558,1,0.31442,0.68558,-0.37115,2,-0.18558,1,-0.77951,-0.77951,1
0,0.35977,0.64023,1,0.35977,0.64023,-0.28046,2,-0.14023,1,-0.57636,-0.57636,1
0,0.37257,0.62743,1,0.37257,0.62743,-0.25486,2,-0.12743,1,-0.5212,-0.5212,1
1,0.11605,0.88395,2,0.88395,0.11605,0.76791,2,0.38395,1,-2.0304,2.0304,1
1,0.21591,0.78409,2,0.78409,0.21591,0.56817,2,0.28409,1,-1.2896,1.2896,1
1,0.11764,0.88236,2,0.88236,0.11764,0.76472,2,0.38236,1,-2.0149,2.0149,1
1,0.11531,0.88469,2,0.88469,0.11531,0.76937,2,0.38469,1,-2.0376,2.0376,1
1,0.16136,0.83864,2,0.83864,0.16136,0.67727,2,0.33864,1,-1.6481,1.6481,1
1,0.11002,0.88998,2,0.88998,0.11002,0.77996,2,0.38998,1,-2.0905,2.0905,1
1,0.11487,0.88513,2,0.88513,0.11487,0.77026,2,0.38513,1,-2.0419,2.0419,1
1,0.095133,0.90487,2,0.90487,0.095133,0.80973,2,0.40487,1,-2.2525,2.2525,1
1,0.12749,0.87251,2,0.87251,0.12749,0.74503,2,0.37251,1,-1.9234,1.9234,1
1,0.23177,0.76823,2,0.76823,0.23177,0.53645,2,0.26823,1,-1.1983,1.1983,1
1,0.13853,0.86147,2,0.86147,0.13853,0.72293,2,0.36147,1,-1.8275,1.8275,1
1,0.21457,0.78543,2,0.78543,0.21457,0.57085,2,0.28543,1,-1.2976,1.2976,1
1,0.29058,0.70942,2,0.70942,0.29058,0.41884,2,0.20942,1,-0.89256,0.89256,1
1,0.38919,0.61081,2,0.61081,0.38919,0.22163,2,0.11081,1,-0.45074,0.45074,1
1,0.23484,0.76516,2,0.76516,0.23484,0.53032,2,0.26516,1,-1.1812,1.1812,1
1,0.19237,0.80763,2,0.80763,0.19237,0.61526,2,0.30763,1,-1.4347,1.4347,1
1,0.35436,0.64564,2,0.64564,0.35436,0.29127,2,0.14564,1,-0.59991,0.59991,1
1,0.24334,0.75666,2,0.75666,0.24334,0.51332,2,0.25666,1,-1.1345,1.1345,1
1,0.29381,0.70619,2,0.70619,0.29381,0.41238,2,0.20619,1,-0.87694,0.87694,1
1,0.25172,0.74828,2,0.74828,0.25172,0.49655,2,0.24828,1,-1.0894,1.0894,1
0,0.36,0.64,1,0.36,0.64,-0.28,2,-0.14,1,-0.57536,-0.57536,1
1,0.57428,0.42572,1,0.57428,0.42572,0.14857,1,0.074285,1,0.29935,0.29935,1
0,0.35465,0.64535,1,0.35465,0.64535,-0.2907,2,-0.14535,1,-0.59867,-0.59867,1
0,0.40086,0.59914,1,0.40086,0.59914,-0.19828,2,-0.099141,1,-0.40189,-0.40189,1
0,0.38749,0.61251,1,0.38749,0.61251,-0.22501,2,-0.11251,1,-0.45786,-0.45786,1
0,0.47901,0.52099,1,0.47901,0.52099,-0.041982,2,-0.020991,1,-0.084013,-0.084013,1
0,0.26002,0.73998,1,0.26002,0.73998,-0.47996,2,-0.23998,1,-1.0459,-1.0459,1
0,0.31199,0.68801,1,0.31199,0.68801,-0.37601,2,-0.18801,1,-0.79081,-0.79081,1
0,0.45463,0.54537,1,0.45463,0.54537,-0.090735,2,-0.045368,1,-0.18197,-0.18197,1
0,0.19515,0.80485,1,0.19515,0.80485,-0.6097,2,-0.30485,1,-1.4169,-1.4169,1
0,0.21794,0.78206,1,0.21794,0.78206,-0.56413,2,-0.28206,1,-1.2777,-1.2777,1
0,0.19255,0.80745,1,0.19255,0.80745,-0.61491,2,-0.30745,1,-1.4336,-1.4336,1
0,0.24696,0.75304,1,0.24696,0.75304,-0.50608,2,-0.25304,1,-1.1149,-1.1149,1
0,0.18245,0.81755,1,0.18245,0.81755,-0.6351,2,-0.31755,1,-1.4999,-1.4999,1
0,0.15797,0.84203,1,0.15797,0.84203,-0.68407,2,-0.34203,1,-1.6734,-1.6734,1
0,0.19218,0.80782,1,0.19218,0.80782,-0.61563,2,-0.30782,1,-1.4359,-1.4359,1
0,0.2885,0.7115,1,0.2885,0.7115,-0.42301,2,-0.2115,1,-0.9027,-0.9027,1
0,0.17349,0.82651,1,0.17349,0.82651,-0.65301,2,-0.32651,1,-1.5611,-1.5611,1
0,0.27966,0.72034,1,0.27966,0.72034,-0.44068,2,-0.22034,1,-0.94615,-0.94615,1
1,0.73618,0.26382,1,0.73618,0.26382,0.47236,1,0.23618,1,1.0262,1.0262,1
1,0.93946,0.060537,1,0.93946,0.060537,0.87893,1,0.43946,1,2.7421,2.7421,1
1,0.89957,0.10043,1,0.89957,0.10043,0.79914,1,0.39957,1,2.1925,2.1925,1
1,0.88385,0.11615,1,0.88385,0.11615,0.7677,1,0.38385,1,2.0294,2.0294,1
1,0.87434,0.12566,1,0.87434,0.12566,0.74867,1,0.37434,1,1.9398,1.9398,1
1,0.79984,0.20016,1,0.79984,0.20016,0.59968,1,0.29984,1,1.3853,1.3853,1
1,0.79135,0.20865,1,0.79135,0.20865,0.5827,1,0.29135,1,1.3331,1.3331,1
1,0.91395,0.08605,1,0.91395,0.08605,0.8279,1,0.41395,1,2.3629,2.3629,1
1,0.83494,0.16506,1,0.83494,0.16506,0.66988,1,0.33494,1,1.621,1.621,1
1,0.9412,0.058799,1,0.9412,0.058799,0.8824,1,0.4412,1,2.773,2.773,1
1,0.90784,0.092159,1,0.90784,0.092159,0.81568,1,0.40784,1,2.2876,2.2876,1
1,0.7367,0.2633,1,0.7367,0.2633,0.47339,1,0.2367,1,1.0289,1.0289,1
1,0.92127,0.078726,1,0.92127,0.078726,0.84255,1,0.42127,1,2.4598,2.4598,1
1,0.90216,0.097838,1,0.90216,0.097838,0.80432,1,0.40216,1,2.2215,2.2215,1
1,0.93571,0.064289,1,0.93571,0.064289,0.87142,1,0.43571,1,2.6779,2.6779,1
1,0.89041,0.10959,1,0.89041,0.10959,0.78083,1,0.39041,1,2.095,2.095,1
1,0.89673,0.10327,1,0.89673,0.10327,0.79345,1,0.39673,1,2.1614,2.1614,1
0,0.71374,0.28626,2,0.28626,0.71374,-0.42749,1,-0.21374,1,0.91363,-0.91363,1
1,0.37468,0.62532,2,0.62532,0.37468,0.25064,2,0.12532,1,-0.5122,0.5122,1
0,0.52208,0.47792,2,0.47792,0.52208,-0.044151,1,-0.022076,1,0.08836,-0.08836,1
1,0.35464,0.64536,2,0.64536,0.35464,0.29073,2,0.14536,1,-0.59872,0.59872,1
0,0.51635,0.48365,2,0.48365,0.51635,-0.032709,1,-0.016354,1,0.065441,-0.065441,1
