Contrast,shape,cluster,sphere,roi,task,acc,beta
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,hit,-0.352159304
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,hit,0.203844327
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,hit,0.172048664
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,cr,2.519056047
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,cr,1.819226248
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,cr,0.799640372
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,cr,0.370896526
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,cr,-0.467701972
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,cr,-0.469839202
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,cr,0.220961026
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,cr,0.11873646
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,cr,0.788882449
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,cr,-0.326165714
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,cr,-0.595852946
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,cr,1.17167238
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,cr,-0.439296534
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,cr,-0.244112684
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,cr,1.356230294
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,cr,-0.794489171
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,cr,0.418692201
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,cr,2.154841626
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,cr,0.011351231
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,cr,0.161794449
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,cr,-0.438909113
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,cr,-0.399473121
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,cr,0.085614756
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,cr,-0.157862187
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,hit,1.915106334
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,hit,1.158019513
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,hit,1.070649693
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,hit,-0.326917831
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,hit,-0.20072346
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,hit,-0.511825501
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,hit,-1.302386245
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,hit,0.143748181
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,hit,0.530721791
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,hit,-0.542963126
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,hit,0.565414283
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,hit,0.849263466
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,hit,-0.455931618
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,hit,0.508670297
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,hit,0.582454282
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,hit,-1.16831365
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,hit,0.445610804
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,hit,2.089377829
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,hit,-0.071909824
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,hit,0.755151009
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,hit,-0.017507462
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,hit,-0.661100748
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,hit,-0.376220186
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,hit,-0.129003375
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,cr,2.072152316
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,cr,1.174215365
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,cr,0.843797538
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,cr,-0.028460327
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,cr,0.60021193
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,cr,0.10994117
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,cr,-0.856282666
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,cr,0.450198359
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,cr,0.722437635
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,cr,0.659329283
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,cr,0.945955078
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,cr,1.628962178
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,cr,0.196971422
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,cr,0.804103797
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,cr,0.410209427
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,cr,-0.146097922
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,cr,1.294749052
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,cr,2.25397264
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,cr,0.574766401
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,cr,0.679455646
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,cr,0.156675164
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,cr,-0.389254536
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,cr,-0.189321294
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,cm,cr,0.488986696
EX>CM Hit>CR,cluster,TRUE,FALSE,Right Hipp,ex,hit,1.257538348
